Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layy
OL5 Y	-0.023734	-0.11081	0.0084365	0.82243	-0.049858	0.56667	-0.067993	-0.36304
OL5 Z	-0.023734	-0.11081	0.0084365	0.21162	0.95147	-0.22342	-0.067993	-0.36304
OL6 X	-0.043073	-0.10624	-0.02862	0.85531	-0.49872	-0.14043	-0.14707	-0.42288
OL6 Y	-0.043073	-0.10624	-0.02862	0.14409	-0.031389	0.98907	-0.14707	-0.42288
OL6 Z	-0.043073	-0.10624	-0.02862	0.49767	0.86619	-0.045014	-0.14707	-0.42288
TL1 X	-0.086112	0.040957	-0.040825	0.2349	0.97084	-0.047907	-0.39326	0.25026
TL1 Y	-0.086112	0.040957	-0.040825	-0.09066	-0.027188	-0.99551	-0.39326	0.25026
TL1 Z	-0.086112	0.040957	-0.040825	0.96778	-0.23819	-0.08163	-0.39326	0.25026
TL2 X	-0.089606	0.020908	-0.0099973	-0.21232	-0.97236	-0.09717	-0.35957	0.12036
TL2 Y	-0.089606	0.020908	-0.0099973	0.0060814	-0.10075	0.99489	-0.35957	0.12036
TL2 Z	-0.089606	0.020908	-0.0099973	0.97718	-0.21065	-0.027305	-0.35957	0.12036
TL3 X	-0.094367	0.00071961	-0.046005	0.15273	0.98774	-0.032252	-0.44899	0.01879
TL3 Y	-0.094367	0.00071961	-0.046005	-0.02207	-0.029218	-0.99933	-0.44899	0.01879
TL3 Z	-0.094367	0.00071961	-0.046005	0.98802	-0.15334	-0.017337	-0.44899	0.01879
TL4 X	-0.09385	-0.015908	-0.0073285	0.013998	-0.99472	-0.10165	-0.35686	-0.056257
TL4 Y	-0.09385	-0.015908	-0.0073285	0.073719	-0.10036	0.99222	-0.35686	-0.056257
TL4 Z	-0.09385	-0.015908	-0.0073285	0.99718	0.021382	-0.071925	-0.35686	-0.056257
TL5 X	-0.090927	-0.041769	-0.039154	-0.33134	0.94351	0.003159	-0.38987	-0.19638
TL5 Y	-0.090927	-0.041769	-0.039154	-0.02082	-0.003964	-0.99978	-0.38987	-0.19638
TL5 Z	-0.090927	-0.041769	-0.039154	0.94328	0.33133	-0.020957	-0.38987	-0.19638
TL6 X	-0.085365	-0.054249	-0.0028127	0.3502	-0.92329	-0.1578	-0.29309	-0.20797
TL6 Y	-0.085365	-0.054249	-0.0028127	0.072888	-0.1411	0.98731	-0.29309	-0.20797
TL6 Z	-0.085365	-0.054249	-0.0028127	0.93384	0.35725	-0.017884	-0.29309	-0.20797
FR1 X	0.043447	0.10372	-0.015964	0.80219	-0.55441	0.22163	0.14436	0.43674
FR1 Y	0.043447	0.10372	-0.015964	0.28465	0.02882	-0.9582	0.14436	0.43674
FR1 Z	0.043447	0.10372	-0.015964	-0.52485	-0.83174	-0.18093	0.14436	0.43674
FR2 X	0.071545	0.076162	-0.026589	0.51558	-0.85426	0.066451	0.27282	0.37438
FR2 Y	0.071545	0.076162	-0.026589	0.14278	0.0091879	-0.98971	0.27282	0.37438
FR2 Z	0.071545	0.076162	-0.026589	-0.84486	-0.51976	-0.12671	0.27282	0.37438
FR3 X	0.026715	0.10169	0.022338	-0.58103	0.51622	-0.62922	0.076316	0.36648
FR3 Y	0.026715	0.10169	0.022338	-0.75572	-0.055169	0.65257	0.076316	0.36648
FR3 Z	0.026715	0.10169	0.022338	-0.30216	-0.85468	-0.42217	0.076316	0.36648
FR4 X	0.06041	0.080958	0.014112	-0.61709	0.78182	-0.089224	0.18641	0.32369
FR4 Y	0.06041	0.080958	0.014112	-0.2674	-0.10171	0.9582	0.18641	0.32369
FR4 Z	0.06041	0.080958	0.014112	-0.74006	-0.61515	-0.27182	0.18641	0.32369
FR5 X	0.080848	0.051262	0.0015935	-0.38052	0.92306	0.056183	0.28817	0.24179
FR5 Y	0.080848	0.051262	0.0015935	-0.10227	-0.10238	0.98947	0.28817	0.24179
FR5 Z	0.080848	0.051262	0.0015935	-0.9191	-0.37077	-0.13336	0.28817	0.24179
FR6 X	0.038077	0.074638	0.050837	0.40572	-0.80539	0.43213	0.10231	0.26192
FR6 Y	0.038077	0.074638	0.050837	0.79112	0.07267	-0.60733	0.10231	0.26192
FR6 Z	0.038077	0.074638	0.050837	-0.45774	-0.58827	-0.66665	0.10231	0.26192
FR7 X	0.068009	0.048724	0.040294	0.38576	-0.91508	0.11757	0.20072	0.19338
FR7 Y	0.068009	0.048724	0.040294	0.511	0.10581	-0.85304	0.20072	0.19338
FR7 Z	0.068009	0.048724	0.040294	-0.76816	-0.38915	-0.50842	0.20072	0.19338
PR1 X	0.039212	0.040622	0.070558	0.22526	-0.93578	0.27123	0.10375	0.14855
PR1 Y	0.039212	0.040622	0.070558	0.86749	0.065907	-0.49307	0.10375	0.14855
PR1 Z	0.039212	0.040622	0.070558	-0.44353	-0.34636	-0.82663	0.10375	0.14855
PR2 X	0.06881	0.013256	0.058253	-0.25615	0.96234	-0.091008	0.1907	0.06097
PR2 Y	0.06881	0.013256	0.058253	-0.65153	-0.10233	0.75169	0.1907	0.06097
PR2 Z	0.06881	0.013256	0.058253	-0.71407	-0.25184	-0.65321	0.1907	0.06097
PR3 X	0.08733	0.015512	0.024319	0.24997	-0.96446	-0.085618	0.28261	0.078034
PR3 Y	0.08733	0.015512	0.024319	0.23201	0.14551	-0.96177	0.28261	0.078034
PR3 Z	0.08733	0.015512	0.024319	-0.94004	-0.22055	-0.26014	0.28261	0.078034
PR4 X	0.039073	0.0032972	0.082731	0.14884	-0.97841	0.14341	0.097706	0.026698
PR4 Y	0.039073	0.0032972	0.082731	0.89371	0.071022	-0.44298	0.097706	0.026698
PR4 Z	0.039073	0.0032972	0.082731	-0.42323	-0.1941	-0.88499	0.097706	0.026698
PR5 X	0.068058	-0.025428	0.066036	-0.036555	0.99269	0.11504	0.17192	-0.059749
PR5 Y	0.068058	-0.025428	0.066036	-0.70564	-0.10715	0.70042	0.17192	-0.059749
PR5 Z	0.068058	-0.025428	0.066036	-0.70763	0.055573	-0.7044	0.17192	-0.059749
PR6 X	0.089059	-0.024448	0.030957	-0.0335	-0.98243	-0.18359	0.26354	-0.069489
PR6 Y	0.089059	-0.024448	0.030957	0.29159	0.1661	-0.94201	0.26354	-0.069489
PR6 Z	0.089059	-0.024448	0.030957	-0.95596	0.085092	-0.2809	0.26354	-0.069489
PR7 X	0.034765	-0.037166	0.086263	-0.000695	-0.98976	-0.14275	0.080798	-0.085449
PR7 Y	0.034765	-0.037166	0.086263	0.9356	0.049757	-0.34955	0.080798	-0.085449
PR7 Z	0.034765	-0.037166	0.086263	-0.35307	0.1338	-0.92598	0.080798	-0.085449
PR8 X	0.055421	-0.063075	0.064872	-0.22192	-0.87625	-0.42771	0.13227	-0.16086
PR8 Y	0.055421	-0.063075	0.064872	0.77734	0.10582	-0.62012	0.13227	-0.16086
PR8 Z	0.055421	-0.063075	0.064872	-0.58864	0.4701	-0.65766	0.13227	-0.16086
PR9 X	0.076553	-0.063765	0.033679	0.35674	0.87494	0.32744	0.20882	-0.19024
PR9 Y	0.076553	-0.063765	0.033679	-0.42695	-0.15906	0.89018	0.20882	-0.19024
PR9 Z	0.076553	-0.063765	0.033679	-0.83093	0.45736	-0.31681	0.20882	-0.19024
OR1 X	0.021032	-0.080682	0.068561	0.14453	0.71491	0.68411	0.050102	-0.20342
OR1 Y	0.021032	-0.080682	0.068561	-0.97268	-0.024274	0.23087	0.050102	-0.20342
OR1 Z	0.021032	-0.080682	0.068561	-0.18166	0.69879	-0.69187	0.050102	-0.20342
OR2 X	0.043997	-0.093432	0.038385	-0.47187	-0.58155	-0.66267	0.11438	-0.2673
OR2 Y	0.043997	-0.093432	0.038385	0.77499	0.084791	-0.62626	0.11438	-0.2673
OR2 Z	0.043997	-0.093432	0.038385	-0.42039	0.80908	-0.41068	0.11438	-0.2673
OR3 X	0.063707	-0.090442	0.0025599	0.67204	0.68889	0.27165	0.19429	-0.31209
OR3 Y	0.063707	-0.090442	0.0025599	-0.24364	-0.14072	0.9596	0.19429	-0.31209
OR3 Z	0.063707	-0.090442	0.0025599	-0.69929	0.71108	-0.073272	0.19429	-0.31209
OR4 X	0.074458	-0.078415	-0.03407	-0.55802	-0.82931	-0.029275	0.28295	-0.34143
OR4 Y	0.074458	-0.078415	-0.03407	0.01334	0.026309	-0.99956	0.28295	-0.34143
OR4 Z	0.074458	-0.078415	-0.03407	-0.82972	0.55817	0.003618	0.28295	-0.34143
OR5 X	0.023671	-0.11102	0.0085223	0.51541	0.29856	0.80325	0.069875	-0.36293
OR5 Y	0.023671	-0.11102	0.0085223	-0.83324	-0.044333	0.55113	0.069875	-0.36293
OR5 Z	0.023671	-0.11102	0.0085223	-0.20016	0.95336	-0.22592	0.069875	-0.36293
OR6 X	0.043255	-0.1067	-0.02857	0.86034	0.48859	0.14525	0.14922	-0.42243
OR6 Y	0.043255	-0.1067	-0.02857	-0.14978	-0.030041	0.98826	0.14922	-0.42243
OR6 Z	0.043255	-0.1067	-0.02857	-0.48721	0.872	-0.047335	0.14922	-0.42243
