name	Px	Py	Pz	Ox	Oy	Oz	Units
FL1(X)	-3.652442e-02	9.557641e-02	2.489836e-02	8.682073e-01	4.951622e-01	-3.210101e-02	m
FL1(Y)	-3.652442e-02	9.557641e-02	2.489836e-02	-1.278796e-01	1.607748e-01	-9.786717e-01	m
FL1(Z)	-3.652442e-02	9.557641e-02	2.489836e-02	4.794400e-01	-8.537951e-01	-2.029070e-01	m
FL2(X)	-6.445379e-02	6.788766e-02	1.275448e-02	5.029638e-01	8.575527e-01	1.078460e-01	m
FL2(Y)	-6.445379e-02	6.788766e-02	1.275448e-02	-3.839221e-02	1.468210e-01	-9.884177e-01	m
FL2(Z)	-6.445379e-02	6.788766e-02	1.275448e-02	8.634542e-01	-4.929981e-01	-1.067690e-01	m
FL3(X)	-3.015023e-02	8.443527e-02	5.871130e-02	6.004944e-01	6.581754e-01	-4.541053e-01	m
FL3(Y)	-3.015023e-02	8.443527e-02	5.871130e-02	-6.897175e-01	1.389870e-01	-7.106141e-01	m
FL3(Z)	-3.015023e-02	8.443527e-02	5.871130e-02	4.045940e-01	-7.399241e-01	-5.374161e-01	m
FL4(X)	-5.501831e-02	7.341710e-02	4.251493e-02	-6.321850e-01	-7.745110e-01	-2.179000e-02	m
FL4(Y)	-5.501831e-02	7.341710e-02	4.251493e-02	2.077901e-01	-1.965646e-01	9.582200e-01	m
FL4(Z)	-5.501831e-02	7.341710e-02	4.251493e-02	7.464349e-01	-6.012449e-01	-2.852009e-01	m
FL5(X)	-1.820126e-02	6.152978e-02	8.587689e-02	-1.847839e-01	-8.494616e-01	4.942367e-01	m
FL5(Y)	-1.820126e-02	6.152978e-02	8.587689e-02	9.608739e-01	-5.057123e-02	2.723304e-01	m
FL5(Z)	-1.820126e-02	6.152978e-02	8.587689e-02	2.063400e-01	-5.252220e-01	-8.255699e-01	m
FL6(X)	-5.130953e-02	5.602391e-02	7.053656e-02	4.829681e-01	8.676771e-01	-1.178060e-01	m
FL6(Y)	-5.130953e-02	5.602391e-02	7.053656e-02	-5.431728e-01	1.913448e-01	-8.175270e-01	m
FL6(Z)	-5.130953e-02	5.602391e-02	7.053656e-02	6.868081e-01	-4.588281e-01	-5.637121e-01	m
FL7(X)	-7.121991e-02	4.463224e-02	3.999797e-02	-4.007722e-01	-9.035194e-01	-1.517711e-01	m
FL7(Y)	-7.121991e-02	4.463224e-02	3.999797e-02	1.239320e-01	-2.175979e-01	9.681384e-01	m
FL7(Z)	-7.121991e-02	4.463224e-02	3.999797e-02	9.077571e-01	-3.691931e-01	-1.991820e-01	m
PL1(X)	-3.869435e-02	3.211959e-02	9.278869e-02	-2.885159e-01	-9.400677e-01	1.817449e-01	m
PL1(Y)	-3.869435e-02	3.211959e-02	9.278869e-02	8.155094e-01	-1.418091e-01	5.611013e-01	m
PL1(Z)	-3.869435e-02	3.211959e-02	9.278869e-02	5.017002e-01	-3.101011e-01	-8.075483e-01	m
PL2(X)	-6.656150e-02	2.351800e-02	6.898946e-02	3.038051e-01	9.523684e-01	2.640001e-02	m
PL2(Y)	-6.656150e-02	2.351800e-02	6.898946e-02	-5.225035e-01	1.897213e-01	-8.312617e-01	m
PL2(Z)	-6.656150e-02	2.351800e-02	6.898946e-02	7.966761e-01	-2.387470e-01	-5.552541e-01	m
PL3(X)	-2.392714e-02	6.140572e-03	1.064474e-01	1.021020e-01	9.748485e-01	-1.981051e-01	m
PL3(Y)	-2.392714e-02	6.140572e-03	1.064474e-01	-9.663584e-01	4.994047e-02	-2.523043e-01	m
PL3(Z)	-2.392714e-02	6.140572e-03	1.064474e-01	2.360650e-01	-2.172020e-01	-9.471519e-01	m
PL4(X)	-5.523874e-02	-2.176956e-03	9.187735e-02	-2.359470e-01	-9.717570e-01	4.163000e-03	m
PL4(Y)	-5.523874e-02	-2.176956e-03	9.187735e-02	7.298791e-01	-1.743864e-01	6.609583e-01	m
PL4(Z)	-5.523874e-02	-2.176956e-03	9.187735e-02	6.415651e-01	-1.589890e-01	-7.504111e-01	m
PL5(X)	-7.918608e-02	-8.612405e-03	6.467566e-02	2.286241e-01	9.635614e-01	1.388541e-01	m
PL5(Y)	-7.918608e-02	-8.612405e-03	6.467566e-02	-4.166269e-01	2.257520e-01	-8.806010e-01	m
PL5(Z)	-7.918608e-02	-8.612405e-03	6.467566e-02	8.798598e-01	-1.434760e-01	-4.530579e-01	m
PL6(X)	-3.233204e-02	-3.155766e-02	1.022032e-01	-3.613400e-02	9.515290e-01	3.054290e-01	m
PL6(Y)	-3.233204e-02	-3.155766e-02	1.022032e-01	-9.398463e-01	7.152756e-02	-3.340251e-01	m
PL6(Z)	-3.233204e-02	-3.155766e-02	1.022032e-01	3.396811e-01	2.991261e-01	-8.917064e-01	m
PL7(X)	-6.047832e-02	-3.779468e-02	8.280639e-02	6.929902e-02	-9.556573e-01	-2.862111e-01	m
