name	Px	Py	Pz	Ox	Oy	Oz	Units
OL2(Y)	-4.391418e-02	-9.304917e-02	3.818808e-02	-7.672727e-01	8.999065e-02	-6.349759e-01	m
OL2(Z)	-4.391418e-02	-9.304917e-02	3.818808e-02	4.321579e-01	8.041028e-01	-4.082379e-01	m
OL3(X)	-6.327426e-02	-8.989823e-02	2.464182e-03	6.672991e-01	-6.945721e-01	-2.688521e-01	m
OL3(Y)	-6.327426e-02	-8.989823e-02	2.464182e-03	2.390516e-01	-1.421395e-01	9.605471e-01	m
OL3(Z)	-6.327426e-02	-8.989823e-02	2.464182e-03	7.053837e-01	7.052417e-01	-7.118897e-02	m
OL4(X)	-7.378521e-02	-7.792434e-02	-3.408655e-02	-5.525302e-01	8.329853e-01	2.908401e-02	m
OL4(Y)	-7.378521e-02	-7.792434e-02	-3.408655e-02	-1.279592e-02	2.641265e-02	-9.995692e-01	m
OL4(Z)	-7.378521e-02	-7.792434e-02	-3.408655e-02	8.333941e-01	5.526651e-01	3.935001e-03	m
OL5(X)	-2.373391e-02	-1.108061e-01	8.436470e-03	5.280361e-01	-3.036631e-01	-7.930742e-01	m
OL5(Y)	-2.373391e-02	-1.108061e-01	8.436470e-03	8.224326e-01	-4.985784e-02	5.666735e-01	m
OL5(Z)	-2.373391e-02	-1.108061e-01	8.436470e-03	2.116190e-01	9.514740e-01	-2.234160e-01	m
OL6(X)	-4.307274e-02	-1.062438e-01	-2.862015e-02	8.553111e-01	-4.987201e-01	-1.404320e-01	m
OL6(Y)	-4.307274e-02	-1.062438e-01	-2.862015e-02	1.440909e-01	-3.138852e-02	9.890665e-01	m
OL6(Z)	-4.307274e-02	-1.062438e-01	-2.862015e-02	4.976749e-01	8.661948e-01	-4.501399e-02	m
TL1(X)	-8.611201e-02	4.095704e-02	-4.082498e-02	2.349029e-01	9.708376e-01	-4.790698e-02	m
TL1(Y)	-8.611201e-02	4.095704e-02	-4.082498e-02	-9.066049e-02	-2.718838e-02	-9.955107e-01	m
TL1(Z)	-8.611201e-02	4.095704e-02	-4.082498e-02	9.677816e-01	-2.381919e-01	-8.162996e-02	m
TL2(X)	-8.960611e-02	2.090786e-02	-9.997310e-03	-2.123240e-01	-9.723562e-01	-9.717002e-02	m
