Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layx
OL3 Y	-6.527640e-02	-5.312505e-02	-3.777114e-02	-4.866155e-01	8.705765e-01	7.281378e-02	2.379423e-01	2.657494e-01
OL3 Z	-6.527640e-02	-5.312505e-02	-3.777114e-02	8.735590e-01	4.858447e-01	2.914698e-02	2.379423e-01	2.657494e-01
OL4 X	-2.024265e-02	-9.001969e-02	-5.862793e-03	7.323412e-01	-2.010424e-01	-6.505830e-01	5.096324e-01	1.942614e-01
OL4 Y	-2.024265e-02	-9.001969e-02	-5.862793e-03	6.426173e-01	-1.119397e-01	7.579660e-01	5.096324e-01	1.942614e-01
OL4 Z	-2.024265e-02	-9.001969e-02	-5.862793e-03	2.252094e-01	9.731657e-01	-4.721529e-02	5.096324e-01	1.942614e-01
OL5 X	-3.991419e-02	-8.123918e-02	-4.039043e-02	-5.551628e-01	2.974020e-01	7.767537e-01	3.925627e-01	1.384114e-01
OL5 Y	-3.991419e-02	-8.123918e-02	-4.039043e-02	-6.365215e-01	4.492182e-01	-6.269317e-01	3.925627e-01	1.384114e-01
OL5 Z	-3.991419e-02	-8.123918e-02	-4.039043e-02	5.353827e-01	8.424696e-01	6.008650e-02	3.925627e-01	1.384114e-01
OR1 X	3.804567e-02	-7.449579e-02	3.201099e-02	2.736688e-01	-2.720471e-01	-9.225485e-01	6.620440e-01	3.752154e-01
OR1 Y	3.804567e-02	-7.449579e-02	3.201099e-02	8.417134e-01	5.318820e-01	9.284468e-02	6.620440e-01	3.752154e-01
OR1 Z	3.804567e-02	-7.449579e-02	3.201099e-02	-4.654288e-01	8.019301e-01	-3.745452e-01	6.620440e-01	3.752154e-01
OR2 X	5.365800e-02	-7.134620e-02	-1.205854e-03	5.513293e-01	6.665094e-01	5.017980e-01	7.570251e-01	3.081954e-01
OR2 Y	5.365800e-02	-7.134620e-02	-1.205854e-03	-3.654387e-01	-3.477679e-01	8.634304e-01	7.570251e-01	3.081954e-01
OR2 Z	5.365800e-02	-7.134620e-02	-1.205854e-03	-7.499937e-01	6.594109e-01	-5.183366e-02	7.570251e-01	3.081954e-01
OR3 X	6.523539e-02	-5.344399e-02	-3.368377e-02	1.000151e-02	7.779050e-02	-9.969196e-01	9.182721e-01	2.679834e-01
OR3 Y	6.523539e-02	-5.344399e-02	-3.368377e-02	4.866155e-01	8.705765e-01	7.281378e-02	9.182721e-01	2.679834e-01
OR3 Z	6.523539e-02	-5.344399e-02	-3.368377e-02	-8.735590e-01	4.858447e-01	2.914698e-02	9.182721e-01	2.679834e-01
OR4 X	1.724005e-02	-9.084397e-02	-8.530184e-03	7.323412e-01	2.010424e-01	6.505830e-01	6.554174e-01	1.964954e-01
OR4 Y	1.724005e-02	-9.084397e-02	-8.530184e-03	-6.426173e-01	-1.119397e-01	7.579660e-01	6.554174e-01	1.964954e-01
OR4 Z	1.724005e-02	-9.084397e-02	-8.530184e-03	-2.252094e-01	9.731657e-01	-4.721529e-02	6.554174e-01	1.964954e-01
OR5 X	4.219035e-02	-8.001984e-02	-3.720574e-02	-5.551628e-01	-2.974020e-01	-7.767537e-01	7.680694e-01	1.339434e-01
OR5 Y	4.219035e-02	-8.001984e-02	-3.720574e-02	6.365215e-01	4.492182e-01	-6.269317e-01	7.680694e-01	1.339434e-01
OR5 Z	4.219035e-02	-8.001984e-02	-3.720574e-02	-5.353827e-01	8.424696e-01	6.008650e-02	7.680694e-01	1.339434e-01
PC1 X	9.751125e-04	8.083464e-03	7.673817e-02	-2.256288e-04	-9.913250e-01	1.314330e-01	5.803160e-01	7.594635e-01
PC1 Y	9.751125e-04	8.083464e-03	7.673817e-02	9.999957e-01	1.606739e-04	2.928549e-03	5.803160e-01	7.594635e-01
PC1 Z	9.751125e-04	8.083464e-03	7.673817e-02	2.924262e-03	-1.314331e-01	-9.913207e-01	5.803160e-01	7.594635e-01
PC2 X	1.136272e-03	-3.828137e-02	7.381586e-02	-4.031668e-04	-9.461199e-01	-3.238162e-01	5.825249e-01	6.097855e-01
PC2 Y	1.136272e-03	-3.828137e-02	7.381586e-02	9.999894e-01	1.102428e-03	-4.466090e-03	5.825249e-01	6.097855e-01
PC2 Z	1.136272e-03	-3.828137e-02	7.381586e-02	-4.582440e-03	3.238145e-01	-9.461095e-01	5.825249e-01	6.097855e-01
PC3 X	1.031079e-03	-6.757484e-02	5.720320e-02	5.589635e-04	-7.154110e-01	-6.987036e-01	5.803160e-01	4.824475e-01
PC3 Y	1.031079e-03	-6.757484e-02	5.720320e-02	9.999616e-01	-5.707178e-03	6.643618e-03	5.803160e-01	4.824475e-01
PC3 Z	1.031079e-03	-6.757484e-02	5.720320e-02	8.740544e-03	6.986806e-01	-7.153804e-01	5.803160e-01	4.824475e-01
PL1 X	-3.025605e-02	-1.036231e-02	7.266007e-02	6.296176e-01	7.510378e-01	1.988063e-01	5.052147e-01	6.745715e-01
PL1 Y	-3.025605e-02	-1.036231e-02	7.266007e-02	-7.008485e-01	6.594929e-01	-2.718097e-01	5.052147e-01	6.745715e-01
PL1 Z	-3.025605e-02	-1.036231e-02	7.266007e-02	3.352507e-01	-3.180312e-02	-9.415920e-01	5.052147e-01	6.745715e-01
PL2 X	-4.449783e-02	1.803700e-02	6.104169e-02	-7.701091e-01	-3.808291e-01	-5.117628e-01	4.212779e-01	6.835075e-01
PL2 Y	-4.449783e-02	1.803700e-02	6.104169e-02	2.040984e-01	-9.071724e-01	3.679431e-01	4.212779e-01	6.835075e-01
PL2 Z	-4.449783e-02	1.803700e-02	6.104169e-02	6.043805e-01	-1.789064e-01	-7.763483e-01	4.212779e-01	6.835075e-01
PL3 X	-6.950872e-02	3.282901e-02	2.028612e-02	3.363115e-01	8.890675e-01	3.105698e-01	2.843284e-01	6.701035e-01
PL3 Y	-6.950872e-02	3.282901e-02	2.028612e-02	-1.924833e-01	3.877105e-01	-9.014603e-01	2.843284e-01	6.701035e-01
PL3 Z	-6.950872e-02	3.282901e-02	2.028612e-02	9.218702e-01	-2.433920e-01	-3.015222e-01	2.843284e-01	6.701035e-01
PL4 X	-3.692397e-02	-5.071441e-02	5.960550e-02	1.068606e-01	8.156507e-01	5.685901e-01	5.074236e-01	5.360635e-01
PL4 Y	-3.692397e-02	-5.071441e-02	5.960550e-02	-8.957629e-01	3.271563e-01	-3.009611e-01	5.074236e-01	5.360635e-01
PL4 Z	-3.692397e-02	-5.071441e-02	5.960550e-02	4.314970e-01	4.771610e-01	-7.655898e-01	5.074236e-01	5.360635e-01
PL5 X	-5.494229e-02	-1.922217e-02	5.783464e-02	-2.514144e-01	-9.083887e-01	-3.340968e-01	4.168602e-01	5.315955e-01
