Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layy
OL5 Y	-0.021936	-0.10258	0.0064359	0.85023	-0.034488	0.52528	-0.069136	-0.3431
OL5 Z	-0.021936	-0.10258	0.0064359	0.17917	0.95723	-0.22716	-0.069136	-0.3431
OL6 X	-0.039531	-0.099603	-0.028946	0.88346	-0.43931	-0.16282	-0.14707	-0.40154
OL6 Y	-0.039531	-0.099603	-0.028946	0.169	-0.025316	0.98529	-0.14707	-0.40154
OL6 Z	-0.039531	-0.099603	-0.028946	0.43697	0.89798	-0.051876	-0.14707	-0.40154
TL1 X	-0.084331	0.040691	-0.040923	0.27798	0.95862	-0.061397	-0.39415	0.2386
TL1 Y	-0.084331	0.040691	-0.040923	-0.10913	-0.031988	-0.99351	-0.39415	0.2386
TL1 Z	-0.084331	0.040691	-0.040923	0.95437	-0.28287	-0.095719	-0.39415	0.2386
TL2 X	-0.088395	0.0208	-0.01001	-0.24946	-0.96366	-0.095505	-0.35977	0.1141
TL2 Y	-0.088395	0.0208	-0.01001	0.0071332	-0.10045	0.99492	-0.35977	0.1141
TL2 Z	-0.088395	0.0208	-0.01001	0.96836	-0.24751	-0.031932	-0.35977	0.1141
TL3 X	-0.093975	0.00081959	-0.045992	0.18571	0.98196	-0.035496	-0.44899	0.018293
TL3 Y	-0.093975	0.00081959	-0.045992	-0.027348	-0.030945	-0.99915	-0.44899	0.018293
TL3 Z	-0.093975	0.00081959	-0.045992	0.98222	-0.18652	-0.021108	-0.44899	0.018293
TL4 X	-0.093481	-0.015933	-0.0072937	0.019206	-0.99503	-0.097733	-0.35669	-0.051881
TL4 Y	-0.093481	-0.015933	-0.0072937	0.086854	-0.095721	0.99161	-0.35669	-0.051881
TL4 Z	-0.093481	-0.015933	-0.0072937	0.99604	0.027534	-0.084584	-0.35669	-0.051881
TL5 X	-0.089603	-0.041579	-0.039182	-0.39787	0.91743	0.004634	-0.39065	-0.18354
TL5 Y	-0.089603	-0.041579	-0.039182	-0.020434	-0.0038116	-0.99978	-0.39065	-0.18354
TL5 Z	-0.089603	-0.041579	-0.039182	0.91721	0.39788	-0.020263	-0.39065	-0.18354
TL6 X	-0.083278	-0.053686	-0.002848	-0.40775	0.89909	0.15931	-0.29242	-0.19525
TL6 Y	-0.083278	-0.053686	-0.002848	-0.081727	0.13784	-0.98708	-0.29242	-0.19525
TL6 Z	-0.083278	-0.053686	-0.002848	0.90943	0.4155	-0.017275	-0.29242	-0.19525
FR1 X	0.039557	0.097424	-0.017275	0.82182	-0.49538	0.28144	0.14348	0.41816
FR1 Y	0.039557	0.097424	-0.017275	0.33593	0.022325	-0.94162	0.14348	0.41816
FR1 Z	0.039557	0.097424	-0.017275	-0.46018	-0.86839	-0.18476	0.14348	0.41816
FR2 X	0.067763	0.07393	-0.027126	0.57882	-0.80936	0.099477	0.27263	0.3586
FR2 Y	0.067763	0.07393	-0.027126	0.17354	0.0030637	-0.98482	0.27263	0.3586
FR2 Z	0.067763	0.07393	-0.027126	-0.79678	-0.5873	-0.14223	0.27263	0.3586
FR3 X	0.024255	0.094406	0.018716	-0.51547	0.49713	-0.69797	0.076516	0.35091
FR3 Y	0.024255	0.094406	0.018716	-0.81672	-0.038507	0.57575	0.076516	0.35091
FR3 Z	0.024255	0.094406	0.018716	-0.25934	-0.86682	-0.42586	0.076516	0.35091
FR4 X	0.056067	0.077362	0.012565	-0.65402	0.74007	-0.1567	0.18494	0.30952
FR4 Y	0.056067	0.077362	0.012565	-0.32684	-0.089633	0.94082	0.18494	0.30952
FR4 Z	0.056067	0.077362	0.012565	-0.68223	-0.66653	-0.30051	0.18494	0.30952
