Name	Px	Py	Pz	Ox	Oy	Oz	Layx	Layy
FL1 X	-0.036524	0.095576	0.024898	0.86821	0.49516	-0.032101	-0.13404	0.41417
FL1 Y	-0.036524	0.095576	0.024898	-0.12788	0.16077	-0.97867	-0.13404	0.41417
FL1 Z	-0.036524	0.095576	0.024898	0.47944	-0.8538	-0.20291	-0.13404	0.41417
FL2 X	-0.064454	0.067888	0.012754	0.50296	0.85755	0.10785	-0.2794	0.35934
FL2 Y	-0.064454	0.067888	0.012754	-0.038392	0.14682	-0.98842	-0.2794	0.35934
FL2 Z	-0.064454	0.067888	0.012754	0.86345	-0.493	-0.10677	-0.2794	0.35934
FL3 X	-0.03015	0.084435	0.058711	0.60049	0.65818	-0.45411	-0.093753	0.32342
FL3 Y	-0.03015	0.084435	0.058711	-0.68972	0.13899	-0.71061	-0.093753	0.32342
FL3 Z	-0.03015	0.084435	0.058711	0.40459	-0.73992	-0.53742	-0.093753	0.32342
FL4 X	-0.055018	0.073417	0.042515	-0.63219	-0.77451	-0.02179	-0.19128	0.31704
FL4 Y	-0.055018	0.073417	0.042515	0.20779	-0.19656	0.95822	-0.19128	0.31704
FL4 Z	-0.055018	0.073417	0.042515	0.74643	-0.60124	-0.2852	-0.19128	0.31704
FL5 X	-0.018201	0.06153	0.085877	-0.18478	-0.84946	0.49424	-0.051959	0.23073
FL5 Y	-0.018201	0.06153	0.085877	0.96087	-0.050571	0.27233	-0.051959	0.23073
FL5 Z	-0.018201	0.06153	0.085877	0.20634	-0.52522	-0.82557	-0.051959	0.23073
FL6 X	-0.05131	0.056024	0.070537	0.48297	0.86768	-0.11781	-0.15607	0.22807
FL6 Y	-0.05131	0.056024	0.070537	-0.54317	0.19134	-0.81753	-0.15607	0.22807
FL6 Z	-0.05131	0.056024	0.070537	0.68681	-0.45883	-0.56371	-0.15607	0.22807
FL7 X	-0.07122	0.044632	0.039998	-0.40077	-0.90352	-0.15177	-0.26973	0.22581
FL7 Y	-0.07122	0.044632	0.039998	0.12393	-0.2176	0.96814	-0.26973	0.22581
FL7 Z	-0.07122	0.044632	0.039998	0.90776	-0.36919	-0.19918	-0.26973	0.22581
PL1 X	-0.038694	0.03212	0.092789	-0.28852	-0.94007	0.18174	-0.10778	0.14237
PL1 Y	-0.038694	0.03212	0.092789	0.81551	-0.14181	0.5611	-0.10778	0.14237
PL1 Z	-0.038694	0.03212	0.092789	0.5017	-0.3101	-0.80755	-0.10778	0.14237
PL2 X	-0.066561	0.023518	0.068989	0.30381	0.95237	0.0264	-0.21365	0.12719
PL2 Y	-0.066561	0.023518	0.068989	-0.5225	0.18972	-0.83126	-0.21365	0.12719
PL2 Z	-0.066561	0.023518	0.068989	0.79668	-0.23875	-0.55525	-0.21365	0.12719
PL3 X	-0.023927	0.0061406	0.10645	0.1021	0.97485	-0.19811	-0.063477	0.063786
PL3 Y	-0.023927	0.0061406	0.10645	-0.96636	0.04994	-0.2523	-0.063477	0.063786
PL3 Z	-0.023927	0.0061406	0.10645	0.23606	-0.2172	-0.94715	-0.063477	0.063786
PL4 X	-0.055239	-0.002177	0.091877	-0.23595	-0.97176	0.004163	-0.15361	0.040541
PL4 Y	-0.055239	-0.002177	0.091877	0.72988	-0.17439	0.66096	-0.15361	0.040541
PL4 Z	-0.055239	-0.002177	0.091877	0.64157	-0.15899	-0.75041	-0.15361	0.040541
PL5 X	-0.079186	-0.0086124	0.064676	0.22862	0.96356	0.13885	-0.25145	0.017425
